# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-27.5884,0.999824,0.152035,4,15,0,30.3913,-0.875878,-0.47556,-0.194466,0.0216211,2.14466,1.02783,11.9994,-0.518066,-0.220678,-0.259761,1.23878,-0.216319
-28.3341,0.997669,0.152035,4,31,0,28.481,-0.664378,-1.23346,-0.309843,0.775359,0.289257,0.550277,0.908134,-0.594411,1.29809,-1.72018,-1.82807,-0.205771
-27.8394,0.997174,0.152035,5,31,0,28.6475,-1.04884,-0.573268,-0.173537,0.141545,-0.332989,-1.54513,1.39494,1.26306,-1.77354,1.5154,2.40482,1.90949
-27.7533,0.989832,0.152035,5,31,0,28.8376,-0.865973,-0.551647,-0.142023,0.143375,-1.30665,1.88238,2.8175,-0.834678,-0.501407,1.02088,3.55974,1.42488
-28.2511,0.894423,0.152035,4,19,0,29.2562,-0.691847,-0.913091,-0.234428,0.604115,0.422602,0.400222,-4.30956,1.86619,0.416513,5.37966,-0.750339,6.40583
-28.4516,0.951147,0.152035,5,31,0,29.6283,-0.998362,-0.181686,-0.293804,-0.153183,-0.64636,0.261093,-5.80416,-1.78709,-1.58281,8.02253,-5.29025,7.05494
-27.7209,0.983655,0.152035,3,11,0,29.0888,-0.923444,-0.251553,-0.243103,-0.172491,1.55016,-1.49322,6.11773,-0.935318,-0.642976,2.6243,-1.99728,1.97926
-28.482,0.931047,0.152035,3,13,0,29.3047,-1.07562,-0.327607,-0.223842,-0.34627,-2.81422,0.225512,1.92294,-0.51743,0.117392,-7.23419,2.1102,-7.59236
-29.2417,0.981946,0.152035,4,19,0,29.8107,-0.692,0.0200446,-0.0897608,-0.634601,1.92179,0.257344,2.82934,-0.743875,2.40339,-8.86479,6.43904,-9.83872
-29.3703,0.981908,0.152035,4,27,0,30.6552,-0.584557,-0.385301,-0.00999433,-0.155026,0.0101367,2.58557,0.652337,-0.0217841,2.65723,-7.9894,10.4577,-7.74458
-31.7804,0.997742,0.152035,4,15,0,32.9465,-0.345479,0.134282,-0.471552,-0.501879,-2.41509,0.518357,-6.29604,0.180014,4.63104,8.3278,-15.7994,5.55937
-34.3313,0.990989,0.152035,4,31,0,35.741,-0.207933,0.466579,-0.502829,-1.14467,0.676812,-2.5601,-1.86477,0.570389,6.55748,-3.13365,-12.3923,-6.74907
