# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1238074989
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-27.4892,1,0.526251,3,7,0,28.1231,-1.27434,-0.507226,-0.35968,0.28816,5.14203,-3.79651,-2.49944,2.20326,-4.53618
-27.8225,0.988487,0.526251,3,7,0,28.3843,-0.871802,-0.526371,-0.462619,-2.55358,1.38264,-1.40474,0.715602,0.723712,-9.43846
-28.3128,0.931689,0.526251,2,7,0,29.8389,-1.47158,-0.740208,-0.287008,-2.95977,-3.89221,6.43125,-1.90437,-6.14644,0.935636
-29.0648,0.974864,0.526251,3,7,0,29.5158,-1.71768,-0.60544,-0.158504,-0.710673,-4.66969,-2.18803,-4.78929,0.482105,4.31051
-31.942,0.931772,0.526251,3,7,0,32.6223,-1.29467,-0.97766,-0.706794,1.64693,4.27748,-3.53064,0.747823,-9.11318,-8.91219
-31.0353,0.911413,0.526251,3,7,0,35.3214,-1.71713,-0.334674,-0.0637501,-5.98968,-9.67788,1.93595,-7.30128,10.3774,6.29327
-27.1777,1,0.526251,3,7,0,31.0324,-0.896987,-0.590124,-0.176395,-5.82616,5.87981,6.85508,0.600334,-6.53515,3.79335
-27.574,0.991251,0.526251,2,7,0,28.2769,-1.20557,-0.627051,-0.398603,1.55168,-1.0375,5.80701,-1.13669,-2.6504,-4.58947
-27.7073,0.981465,0.526251,3,7,0,28.5683,-1.27262,-0.435691,-0.106009,-2.496,-2.17034,-4.54892,-3.43149,2.79063,5.18778
-27.4936,0.953192,0.526251,3,7,0,28.8348,-1.01075,-0.546856,-0.0761792,3.35922,-5.48876,-0.0883607,-0.499184,-4.80261,7.59412
-27.254,0.990135,0.526251,2,3,0,27.8079,-0.922772,-0.475788,-0.0685034,-0.735178,-4.04681,4.15424,-0.425162,-2.34535,7.35839
-27.9366,0.931364,0.526251,2,7,0,28.72,-0.818864,-0.678835,-0.199692,0.144483,1.07264,7.17416,1.76126,-10.4711,4.08046
-26.7343,0.992328,0.526251,2,3,0,28.0664,-0.847057,-0.421607,-0.259727,-0.977894,8.74123,-2.06463,-0.0928253,2.10095,-2.40517
-27.3066,0.869347,0.526251,3,7,0,29.702,-0.585901,-0.489845,-0.11761,2.17656,-7.23357,-9.03632,2.29624,-4.74837,5.31932
-28.6065,0.889827,0.526251,2,3,0,29.4202,-1.31932,-0.29708,-0.150604,2.82187,-2.41278,2.70888,-4.77175,9.75148,2.20889
-28.1807,1,0.526251,3,7,0,29.134,-1.15457,-0.269988,-0.223566,2.94249,-1.17943,-4.21921,-3.46551,10.7367,-1.71821
-27.1396,0.980108,0.526251,3,7,0,29.0186,-0.763062,-0.396358,-0.0717556,3.24059,-8.26876,0.00517896,0.296891,0.468464,6.49787
-27.2847,0.974605,0.526251,3,7,0,27.91,-1.19348,-0.514733,-0.356714,-1.5765,0.377113,5.39213,-1.89845,1.31167,-4.53967
-27.5125,0.98597,0.526251,3,7,0,28.022,-1.00121,-0.675888,-0.303174,-0.343003,-5.11745,-2.47281,0.483048,-7.4868,-0.287519
-27.6636,0.996008,0.526251,3,7,0,27.9293,-1.3066,-0.510779,-0.38021,-0.211562,-3.67654,-1.85081,-2.63653,2.51165,-5.18615
-29.6383,0.909777,0.526251,3,7,0,30.3203,-1.81758,-0.555,-0.174907,0.20132,3.39656,-5.79492,-5.92711,3.51706,3.48735
-29.4054,0.993927,0.526251,3,7,0,31.0757,-0.777132,-0.797307,-0.476501,2.22723,7.93596,-4.51677,2.5499,-10.1645,-4.80151
-29.9723,0.987056,0.526251,2,3,0,30.0943,-0.81292,-0.857758,-0.472546,-1.13254,-0.470693,1.1508,2.62769,-12.1662,-3.41132
-30.2088,1,0.526251,2,3,0,30.4341,-0.79026,-0.853235,-0.524235,0.436325,-3.17947,1.88051,2.71972,-11.0394,-5.4302
-27.3565,0.993124,0.526251,3,7,0,31.2152,-1.03517,-0.356777,-0.301347,-1.57936,5.09315,14.8232,-1.82124,6.81574,-4.70044
-26.962,0.927478,0.526251,2,3,0,28.6614,-1.08988,-0.46289,-0.159461,0.194279,6.58093,-8.28677,-1.82452,0.514472,3.03053
-28.5272,0.863895,0.526251,2,7,0,29.148,-0.251963,-0.542157,-0.225796,-0.276834,-4.81484,4.1235,5.10571,-6.80398,0.83077
-31.8685,0.904805,0.526251,3,7,0,33.2844,-2.12223,-0.690947,-0.585668,3.28465,-5.30358,-3.11873,-5.47087,3.40972,-7.27016
-27.0275,0.984151,0.526251,3,7,0,32.7577,-0.669065,-0.536895,-0.237208,6.93604,-0.23976,11.6696,1.91184,-4.74314,0.289378
-28.5391,0.905379,0.526251,2,3,0,28.9858,-0.886712,-0.547841,-0.533285,-2.23474,-0.141543,2.03457,0.901289,1.13136,-11.7116
-31.494,0.950353,0.526251,3,7,0,32.7107,-2.11168,-0.911743,-0.188006,-2.40228,-6.02939,-3.70066,-3.62642,-5.99005,4.802
-27.8568,1,0.526251,3,7,0,32.0862,-0.350261,-0.30917,-0.208524,-1.25338,-4.56163,-15.9659,3.7061,5.32506,-2.34678
-27.2063,0.964428,0.526251,3,7,0,29.132,-1.21984,-0.443408,-0.214776,-3.26862,-2.54636,-8.21193,-2.89125,2.99238,0.536706
-27.1723,0.995211,0.526251,3,7,0,27.551,-0.512975,-0.474137,-0.242784,1.32788,-2.62985,-3.01129,2.83862,-2.38646,-1.1519
-27.8161,0.952638,0.526251,3,7,0,28.1741,-0.665882,-0.278034,-0.302654,-1.78634,2.2298,1.51777,0.949259,9.38162,-7.11188
-27.7142,0.98597,0.526251,3,7,0,29.3196,-0.682868,-0.413777,-0.40113,0.61392,9.32165,3.82507,1.53749,4.09029,-9.42426
-27.4068,0.980149,0.526251,2,3,0,28.1755,-0.604624,-0.389286,-0.335945,0.58703,1.83844,-6.81531,1.91757,3.89679,-7.09437
-28.6808,0.873071,0.526251,3,7,0,30.4202,-1.64637,-0.63044,-0.17721,1.94455,-9.23136,2.78388,-4.07501,-1.12484,3.81206
-27.1304,0.999759,0.526251,3,7,0,29.4368,-0.659642,-0.336555,-0.256367,5.322,2.67805,-0.855189,1.07088,5.52256,-3.92212
-28.4604,0.863733,0.526251,2,3,0,29.0808,-0.864987,-0.223184,-0.307306,-2.28873,3.48535,-1.33733,-0.920999,12.9259,-7.312
